country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Afghanistan,0.4264849074975657,0.049481967672381444,0.3586078309509012,0.25776486611883465,0.008047205987571446,0.12614360964790683,0.47534516765286006,0.7365930599369085,0.0030734282087258643
Albania,0.06815968841285297,0.1395310444192085,0.29459291485394656,0.27903729056004545,0.07493307393621725,0.08039922373163294,0.8717948717948717,0.07886435331230285,0.0368334144642022
Algeria,0.12025316455696201,0.19155939987293077,0.146674953387197,0.18014926342793045,0.09880939939384681,0.18769060160798448,0.8757396449704141,0.2744479495268139,0.040364993461806456
Angola,0.5666991236611489,0.3111245628867733,0.0646364201367309,0.24626625831277477,0.04253523164859194,0.24591072913778764,0.5522682445759369,0.7902208201892744,0.031488321927287656
Antigua and Barbuda,0.037487828627069134,0.2270787579230681,0.2622747047855811,0.3382551207612538,0.14865223368250113,0.05221328897514093,0.8816568047337278,0.15457413249211355,0.11424180816844678
Argentina,0.057935735150925025,0.09400623339720147,0.39092604101926665,0.09160998332126938,0.14543656695420085,0.23204879401164402,0.8619329388560156,0.19242902208201895,0.09610667277534385
Armenia,0.07546251217137293,0.10351141372047766,0.16096954630205096,0.2600645876800466,0.0489665651051925,0.11071065520746697,0.8126232741617357,0.08517350157728704,0.02852943141578139
Australia,0.010710808179162605,0.09850868723454283,0.430080795525171,0.11978157244611608,0.3279256537852417,0.04962572775159412,0.9842209072978304,0.12302839116719244,0.49317068980328155
Austria,0.008276533592989287,0.2560945715414901,0.5711622125543816,0.27443784743762145,0.34239615406259294,0.04697347749745864,0.9546351084812624,0.04574132492113564,0.44544664929511596
Azerbaijan,0.17818889970788704,0.27110275099929465,0.25295214418893724,0.11863171166551009,0.12373081653817397,0.1664356344145643,0.729783037475345,0.12145110410094634,0.05353682864206016
Bahamas,0.054527750730282376,0.17455012982075233,0.3778744561839652,0.25086570143519876,0.1792010676013538,0.03527400425099344,0.8224852071005916,0.11198738170347006,0.26504977617425
Bahrain,0.02921129503407984,0.34714419358550413,0.19639527656929767,0.2922606895370143,0.32551390373901645,0.10766102947971537,0.8658777120315583,0.15930599369085174,0.1953726770323283
Bangladesh,0.22784810126582275,0.07949832658799046,0.10627719080174022,0.12495594595884303,0.014719714448794526,0.10488864245448665,0.755424063116371,0.1861198738170347,0.005030113869560653
Barbados,0.05647517039922102,0.1970623990074591,0.38284648850217523,0.27961222095034843,0.11810339976364848,0.0418722853710378,0.8796844181459565,0.09936908517350157,0.15051207895465263
Belarus,0.014118792599805257,0.2565948441900836,0.2361715351149783,0.3704512226182215,0.1253386499023241,0.17844931152388874,0.755424063116371,0.05362776025236593,0.05535034218137045
Belgium,0.009250243427458614,0.3816630063384545,0.5525170913610938,0.4290941224291269,0.32551390373901645,0.05627945661214306,0.9447731755424064,0.11198738170347006,0.42158462904103317
Belize,0.07887049659201557,0.2906133842944405,0.21068986948415164,0.3302060952970119,0.05845278195367832,0.04944090194991221,0.7751479289940829,0.24605678233438483,0.03921961648961048
Benin,0.5277507302823758,0.11851959317828217,0.1423244251087632,0.2134952260655041,0.009735431019929094,0.04708437297846779,0.5857988165680473,0.6640378548895899,0.005030113869560653
Bhutan,0.19522882181110027,0.2120705784652636,0.21068986948415164,0.4060969068170071,0.0467155983953823,0.09426115885777656,0.7889546351084812,0.19400630914826494,0.018602830990082947
Bolivia,0.21421616358325216,0.2055670340335483,0.1883157240522063,0.19682224474671725,0.038596039906424094,0.12004435819240365,0.7790927021696251,0.32334384858044163,0.016693869369756323
Bosnia and Herzegovina,0.020934761441090556,0.1480356794452977,0.5773772529521441,0.2945604110982262,0.0732448489038596,0.0518436373717771,0.8816568047337278,0.025236593059936918,0.04179671467705142
Botswana,0.24294060370009735,0.21757357759979193,0.40335612181479186,0.2945604110982262,0.10202506612214708,0.12133813880417707,0.49309664694280075,0.2728706624605678,0.05840468077389305
Brazil,0.08373904576436221,0.052983876212535835,0.44748290863890616,0.06746290692854363,0.11167206630704793,0.11662508086128824,0.8303747534516767,0.10252365930599372,0.10469700006681368
Brunei,0.03846153846153846,0.336638467965041,0.06401491609695462,0.16060163015762866,0.6430609931586689,0.19323537565844193,0.8875739644970414,0.10883280757097791,0.3347268753161718
Bulgaria,0.03992210321324245,0.25059157240696184,0.31448104412678685,0.30433422773337715,0.11810339976364848,0.04916366324738934,0.824457593688363,0.06624605678233439,0.06308163674369327
Burkina Faso,0.5520934761441091,0.09550705134298193,0.3064014916096955,0.16980051640247656,0.0066001559598363214,0.10183901672673505,0.5088757396449705,0.7444794952681388,0.0032834139869617925
Burundi,0.4430379746835442,0.04407902306757183,0.6084524549409571,0.224993833871564,0.001246070857216358,0.15257369928842068,0.504930966469428,0.8059936908517349,0.0
Cambodia,0.20350535540408954,0.2701022057021077,0.24052206339341203,0.34170470310307177,0.015362847794454583,0.06773865631642177,0.6706114398422091,0.2728706624605678,0.005297368496406381
Cameroon,0.5131450827653359,0.11051523080078643,0.20633934120571784,0.15485232625459872,0.01648833114935968,0.05655669531466593,0.4970414201183432,0.6246056782334385,0.010298847941662134
Canada,0.014605647517039919,0.1450340435537368,0.5898073337476694,0.17784954186671847,0.3222982370107162,0.06542833379539784,0.9704142011834319,0.0757097791798107,0.45021905334593254
Cape Verde,0.1163583252190847,0.16304385890310222,0.14170292106898696,0.3549281020800406,0.04197248997113939,0.04357268274651142,0.796844181459566,0.23974763406940064,0.02938846414492837
Central African Republic,0.7127555988315482,0.05848687534706416,0.1348663766314481,0.15197767430308373,0.002242927542989444,0.0574808243230755,0.3037475345167653,0.6403785488958991,0.0020521337418511207
Chad,0.7176241480038948,0.18355503749543503,0.16904909881914232,0.24971584065459274,0.01061973937021167,0.09795767489141484,0.4812623274161735,0.8580441640378549,0.006356842195687657
Chile,0.0296981499513145,0.1880574913327764,0.382224984462399,0.17957433303762746,0.15106398372872634,0.1217077904075409,0.9270216962524654,0.11514195583596215,0.12092317383958998
China,0.06377799415774098,0.13102640939311927,0.20261031696706028,0.129555389081267,0.07171740720791696,0.10304038443766751,0.8382642998027613,0.06940063091482651,0.04131947427196977
Colombia,0.07789678675754626,0.07899805393939698,0.35922933499067744,0.10195873034672327,0.08273106575234541,0.07457721097865262,0.8737672583826431,0.13564668769716087,0.057450199963729735
Comoros,0.4167478091528724,0.08199968983095787,0.1678060907395898,0.2968601326594383,0.006439372623421308,0.07466962387949358,0.6666666666666669,0.5678233438485805,0.005135106758678617
"Congo, Dem. Rep.",0.5520934761441091,0.20506676138495483,0.3791174642635177,0.28478659446307536,0.0,0.23112466500323448,0.5009861932938856,0.8501577287066246,0.000983115234468211
"Congo, Rep.",0.29844206426484904,0.42518672676608754,0.0403977625854568,0.31410804436852807,0.036827423205858946,0.23020053599482487,0.5581854043392506,0.5993690851735016,0.02394792352699749
Costa Rica,0.03700097370983446,0.16554522214606965,0.564947172156619,0.20084675747883823,0.09961331607592187,0.09962110710655209,0.9526627218934912,0.12145110410094634,0.0760625757619143
Cote d'Ivoire,0.5277507302823758,0.25259266300133576,0.21690490988191424,0.24856597987398674,0.0167295061539822,0.08871638480731911,0.47731755424063105,0.6498422712933754,0.009439815212515154
Croatia,0.014118792599805257,0.1875572186841829,0.36979490366687384,0.21866959957823107,0.15669140050325184,0.046492930413085665,0.8717948717948717,0.0630914826498423,0.12665005870056983
Cyprus,0.0048685491723466385,0.25059157240696184,0.25854568054692356,0.3302060952970119,0.26763190262961145,0.0574808243230755,0.9428007889546351,0.04258675078864352,0.2917752388588228
Czech Republic,0.003894839337877312,0.3296346508847322,0.3772529521441889,0.36125233637337356,0.22261256843340754,0.02569078643378616,0.8954635108481263,0.05678233438485805,0.18678234974085847
Denmark,0.007302823758519957,0.2520923903527423,0.596022374145432,0.2502907710448957,0.34882748751919346,0.06866278532483135,0.9349112426035503,0.1135646687697161,0.5513940192232436
Dominican Republic,0.15481986368062314,0.11301659404375385,0.27408328154133,0.1910729408436873,0.08433889911649556,0.0891784493115239,0.8382642998027613,0.22870662460567825,0.04981435348242324
Ecuador,0.10954235637779941,0.13903077177061499,0.3884400248601616,0.18589856733096038,0.07027035718018183,0.10793826818223824,0.8796844181459565,0.2381703470031546,0.04227395508213308
Egypt,0.12901655306718596,0.10601277696344509,0.17712865133623368,0.15255260469338675,0.07437033225876469,0.13224286110341005,0.757396449704142,0.3217665615141956,0.022611650392768856
El Salvador,0.08081791626095422,0.13402804528468015,0.3169670602858919,0.26753868275398557,0.053790065197642914,0.06339524997689677,0.8284023668639052,0.17665615141955837,0.02633412555240577
Equatorial Guinea,0.5277507302823758,0.4286886353062419,0.16594157862026104,0.3382551207612538,0.2660240692654613,0.269013954348027,0.5680473372781064,0.6403785488958991,0.16101136786644907
Eritrea,0.2560856864654333,0.023417762680660963,0.05282784338098198,0.13357990181338794,0.006519764291628816,0.14610479622955364,0.5838264299802761,0.5457413249211357,0.002395746833509913
Estonia,0.009250243427458614,0.37515946190673916,0.2622747047855811,0.39459829901094723,0.17759323423720363,0.05498567600036965,0.8658777120315583,0.08990536277602523,0.13714934761236627
Fiji,0.10467380720545277,0.2886122937000665,0.1895587321317589,0.36700164027640353,0.054192023538680446,0.07799648830976805,0.6548323471400394,0.23974763406940064,0.03263369889948363
Finland,0.001947419668938655,0.19306021781871124,0.44375388440024854,0.21464508684611008,0.31506298687204054,0.04214952407356067,0.9447731755424064,0.1135646687697161,0.43876528362397277
France,0.007789678675754625,0.1335277726360867,0.6270975761342449,0.16117656054793164,0.29174940309186354,0.0486091858423436,0.9723865877712033,0.13880126182965297,0.38531435825482735
Gabon,0.2974683544303797,0.2881120210514731,0.1050341827221877,0.1082829646400562,0.11890731644572355,0.19231124665003235,0.6074950690335305,0.46214511041009465,0.08131222021781254
Gambia,0.3782862706913339,0.11851959317828217,0.24114356743318832,0.2451163975321688,0.008449164328608982,0.07864337861565475,0.6587771203155818,0.7192429022082019,0.003159331481640562
Georgia,0.0676728334956183,0.17455012982075233,0.5152268489745183,0.3031843669527712,0.04920774010981502,0.11791886147306165,0.8027613412228797,0.12145110410094634,0.02604778130935678
Germany,0.007789678675754625,0.2110700331680766,0.6084524549409571,0.21292029567520113,0.31988648696449096,0.04591072913778764,0.9467455621301774,0.03785488958990535,0.39676812797678707
Ghana,0.3510223953261928,0.14703513414811073,0.21193287756370416,0.26351417002186456,0.01970399787765996,0.19231124665003235,0.5936883629191322,0.49211356466876965,0.010298847941662134
Greece,0.00632911392405063,0.11001495815219295,0.5276569297700435,0.1761247506958095,0.22582823516170783,0.0451252194806395,0.9526627218934912,0.05205047318611988,0.2545504872624536
Grenada,0.05842259006815968,0.11851959317828217,0.2517091361093847,0.2824868729018634,0.08514281579857062,0.04334165049440902,0.7731755424063115,0.17192429022082023,0.06814038503755881
Guatemala,0.15968841285296978,0.12852504615015187,0.31323803604723427,0.20832085255277713,0.049046956773400006,0.08640606228629516,0.7731755424063115,0.3517350157728706,0.024806956256144472
Guinea,0.5180136319376826,0.1510373153368586,0.19390926041019263,0.24799104948368378,0.004670755922856155,0.18769060160798448,0.5108481262327417,0.6608832807570978,0.00398018497838101
Guinea-Bissau,0.5423563777994158,0.07399532745346214,0.41578620261031696,0.20199661825944423,0.006278589287006293,0.06635246280380741,0.4635108481262328,0.6151419558359621,0.0030161593601160655
Guyana,0.1703992210321324,0.2565948441900836,0.22187694220012427,0.45439105960245857,0.042052881639346895,0.09185842343591166,0.6587771203155818,0.2365930599369085,0.026811365957487426
Haiti,0.9999999999999999,0.07599641804783608,0.3169670602858919,0.37160108339882747,0.007162897637288871,0.08927086221236485,0.0,0.34384858044164035,0.004113812291803873
Hungary,0.016553067185978577,0.4086777293625026,0.3430702299564947,0.4394428694545808,0.17437756750890335,0.06043803714998614,0.8362919132149901,0.01577287066246058,0.12283213545991659
Iceland,0.0,0.26660029716195327,0.47172156619018024,0.24856597987398674,0.30702382005128986,0.08945568801404677,0.9842209072978304,0.165615141955836,0.39772260878695037
India,0.27361246348588114,0.11251632139516038,0.13921690490988192,0.1554272566449017,0.030556873085673397,0.12189261620922281,0.6725838264299803,0.22870662460567825,0.010680640265727459
Indonesia,0.14946445959104182,0.12102095642124959,0.04972032318210068,0.128405528300661,0.06287432370509119,0.18029756954070789,0.7455621301775149,0.20977917981072552,0.027479502524601747
Iran,0.08130477117818889,0.12152122906984306,0.23555003107520195,0.11115761659157117,0.13498565008722493,0.18584234359116533,0.8362919132149901,0.09621451104100948,0.060122746232187003
Iraq,0.16699123661148974,0.1965621263588656,0.41019266625233064,0.1956723839661113,0.09720156602969666,0.19231124665003235,0.6923076923076924,0.5378548895899052,0.04074678578587178
Ireland,0.007789678675754625,0.514735530864321,0.4586699813548788,0.4969359084848802,0.3624940711144697,0.009148877183254783,0.9526627218934912,0.14195583596214506,0.46262730387805556
Israel,0.009737098344693279,0.17455012982075233,0.3617153511497825,0.18877321928247534,0.23306348530038346,0.055262914702892525,0.9723865877712033,0.2965299684542586,0.2898662772384962
Italy,0.006815968841285295,0.12552341025859096,0.4798011187072716,0.1560021870352047,0.28612198631733804,0.04185380279086961,0.9783037475345168,0.04889589905362776,0.33949927936698837
Jamaica,0.07546251217137293,0.15604004182279343,0.18645121193287756,0.28478659446307536,0.0594174819721684,0.1295628869790223,0.8402366863905325,0.1608832807570978,0.04246485124416574
Japan,0.0029211295034079834,0.07449560010205562,0.47731510254816656,0.07781165395399751,0.2829063195890378,0.02134738009426116,0.9999999999999999,0.03785488958990535,0.42253910985119647
Jordan,0.09006815968841285,0.24108639208368562,0.387197016780609,0.39632309018185624,0.07123505719867192,0.11680990666297016,0.8619329388560156,0.39589905362776023,0.03292004314253262
Kazakhstan,0.0920155793573515,0.2205752134913528,0.15413300186451212,0.17152530757338552,0.15669140050325184,0.21911098789391,0.715976331360947,0.22870662460567825,0.08436655881033511
Kenya,0.29016553067185974,0.10301114107188418,0.18272218769422,0.19279773201459632,0.015041281121624553,0.05822012752980316,0.6055226824457592,0.5078864353312302,0.007024978762801974
Kiribati,0.2925998052580331,0.06599096507596641,0.5898073337476694,0.4589905027248826,0.009011906006061532,0.05295259218186859,0.5641025641025642,0.4242902208201892,0.012016913399956095
Kuwait,0.03992210321324245,0.3331365594248866,0.0509633312616532,0.1743999595249005,0.5996494923266152,0.14240828019591534,0.9092702169625247,0.16719242902208203,0.3652702612413978
